K1,K2,K3,K4,K5,K6,K7,K8,K9,K10,K11,K12,K13,K14,K15,K16
3.923,3.250,2.250,3.333,4.000,3.750,3.667,4.000,3.750,3.500,2.667,1.667,2.500,3.000,3.500,4.000
4.308,4.125,4.250,4.000,4.000,4.000,4.000,4.000,4.250,4.000,4.000,1.333,4.000,4.000,4.000,3.000
4.231,4.000,4.000,3.667,4.000,4.000,4.000,4.000,4.000,3.750,4.000,1.333,3.500,4.000,4.000,2.000
4.308,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,1.333,4.000,4.000,4.000,4.000
5.231,2.875,1.500,4.333,3.500,4.250,4.000,4.000,3.000,3.750,4.333,1.667,3.500,5.000,5.000,4.000
4.308,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,1.333,4.000,4.000,4.000,4.000
4.154,4.000,4.000,4.000,4.000,4.000,4.000,4.000,2.500,4.000,4.000,.667,4.000,4.000,4.000,4.000
5.308,4.750,3.250,2.667,2.500,3.500,2.667,4.000,4.000,3.750,3.333,2.333,4.000,5.000,4.500,4.000
4.308,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,1.333,3.500,4.000,4.000,4.000
4.923,4.500,3.500,4.667,5.000,4.750,4.667,5.000,4.500,4.250,4.333,2.000,4.500,5.000,3.500,2.000
4.308,4.000,4.250,4.000,3.500,4.000,4.000,4.000,4.000,4.000,4.000,1.333,4.000,4.000,4.000,4.000
4.692,4.000,4.000,4.000,4.000,4.000,4.000,3.667,4.000,4.000,4.333,1.333,4.000,4.000,4.000,4.000
4.538,4.000,3.250,4.000,4.000,3.750,3.000,3.000,4.000,4.250,4.333,1.667,4.500,4.000,4.000,4.000
4.000,3.750,3.750,4.000,4.000,3.750,4.000,3.333,3.500,3.250,3.000,1.333,3.500,4.000,3.500,4.000
4.538,4.750,4.000,4.333,4.000,4.250,4.000,4.667,4.500,4.500,5.000,2.000,4.500,4.000,4.500,5.000
4.308,4.125,4.000,4.000,5.000,4.000,4.000,5.000,4.500,4.500,4.000,1.333,4.000,5.000,4.000,4.000
4.308,4.000,4.250,4.000,4.500,4.250,4.000,4.000,3.500,3.500,4.000,1.333,4.000,4.000,4.000,4.000
4.692,4.375,4.250,5.000,4.500,4.500,2.333,4.333,4.750,5.000,4.667,1.333,4.000,4.000,5.000,4.000
4.308,3.875,3.750,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,1.333,4.000,4.000,4.000,4.000
4.154,3.750,3.750,3.667,4.000,2.750,3.333,3.667,4.000,3.750,3.000,1.333,4.000,4.000,4.000,4.000
3.231,3.500,4.000,3.000,4.000,3.500,3.333,4.000,3.250,3.750,4.000,2.333,4.000,4.000,3.000,5.000
4.231,4.000,3.500,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,1.667,4.000,4.000,4.000,4.000
4.385,4.375,4.750,3.667,3.500,4.000,4.000,4.000,3.500,4.500,4.000,1.333,4.000,4.000,3.000,4.000
4.846,4.625,3.750,4.333,4.000,3.750,3.000,4.667,4.500,3.750,4.667,1.333,5.000,4.000,4.000,4.000
3.769,4.000,4.500,4.333,2.500,3.750,3.000,4.333,4.250,3.250,4.667,2.333,3.500,4.000,2.500,5.000
4.615,4.625,4.000,4.000,4.000,4.000,3.667,4.000,4.500,3.750,4.333,1.667,3.500,4.000,2.500,5.000
4.308,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,1.333,4.000,4.000,4.000,4.000
4.462,4.125,4.000,2.667,4.500,3.750,3.333,4.333,4.250,4.000,4.333,1.333,4.000,4.000,4.000,4.000
5.077,3.875,4.750,4.667,4.500,4.750,4.000,4.667,4.250,5.000,4.000,1.333,5.000,4.000,4.000,4.000
4.462,4.250,4.250,4.667,4.500,5.000,4.000,4.000,4.250,4.000,4.667,2.000,4.000,4.000,4.000,5.000
4.308,3.125,3.250,3.333,4.000,4.000,4.000,3.667,3.750,4.000,4.667,1.000,4.000,4.000,4.000,3.000
4.692,4.625,4.500,4.000,4.000,4.000,4.000,3.667,3.500,5.000,4.333,1.667,4.000,4.000,3.500,4.000
4.077,3.250,4.000,4.333,4.500,2.250,3.667,3.000,3.000,3.500,3.667,3.000,2.500,4.000,3.000,3.000
5.077,3.750,4.750,3.333,5.000,5.000,2.333,4.667,3.500,4.500,4.667,2.000,4.500,4.000,4.500,5.000
5.308,4.875,4.250,5.000,4.500,5.000,4.333,5.000,3.750,3.750,5.000,1.667,4.500,4.000,5.000,4.000
5.385,4.500,4.500,4.667,4.000,4.750,4.667,4.667,4.500,5.000,5.000,2.667,5.000,4.000,4.000,5.000
4.154,4.000,3.750,3.667,4.000,4.000,3.333,4.000,3.250,4.000,4.000,2.333,4.000,4.000,2.500,4.000
4.538,4.125,4.250,4.000,4.000,3.250,3.667,4.000,3.750,3.750,4.000,1.667,4.000,4.000,3.000,5.000
5.308,5.000,4.750,5.000,4.500,4.750,4.667,4.667,5.000,5.000,5.000,1.667,5.000,5.000,5.000,5.000
